"dispenser_id","10-30 01","10-31 15","10-31 20","10-31 00","11-01 10","10-27 17","11-03 15","11-01 06","10-31 11","10-29 12","11-01 21","10-28 11","10-27 20","10-31 04","11-04 00","10-29 05","11-03 04","11-01 17","10-31 07","10-27 06","11-02 14","11-03 19","11-02 20","10-30 09","10-30 12","10-28 22","10-29 16","10-29 01","10-28 03","10-28 15","11-02 03","11-03 08","10-28 06","10-27 03","11-03 09","11-03 23","10-27 14","10-28 18","10-30 23","11-02 07","11-01 14","10-29 23","10-30 17","11-01 09","10-31 18","11-03 12","11-01 13","10-27 16","11-02 13","11-03 21","10-30 02","10-31 03","10-30 20","11-02 11","11-03 01","11-02 18","10-31 14","10-28 09","10-30 16","10-27 08","10-27 05","10-28 00","11-02 22","10-31 10","10-29 18","10-28 05","10-31 23","10-29 13","10-27 09","10-28 17","10-29 07","10-30 08","11-02 02","10-29 02","11-02 21","10-28 04","10-31 08","10-30 13","10-27 21","11-03 20","10-30 05","11-02 00","11-03 16","10-30 19","10-31 19","11-02 06","11-02 10","11-01 03","10-31 09","11-02 17","10-28 12","11-03 05","11-02 19","10-27 10","10-31 02","10-27 04","11-03 11","11-03 02","10-30 21","10-27 15","10-30 15","11-03 13","11-03 22","10-30 07","10-27 11","11-03 00","11-01 23","10-29 09","11-01 05","10-29 03","10-29 17","11-01 12","11-02 12","10-29 20","10-30 10","10-31 13","11-02 23","11-02 08","10-31 22","11-01 01","10-27 22","11-02 05","11-01 16","11-02 16","11-01 18","10-31 16","10-30 14","11-01 20","10-29 14","10-28 16","10-28 01","11-03 06","10-28 13","11-02 01","10-31 05","11-01 07","10-28 08","10-30 04","10-29 06","10-27 19","11-03 17","10-30 03","10-28 23","10-28 20","10-29 10","10-27 18","11-01 04","10-30 00","10-31 01","10-27 12","10-27 01","11-01 22","10-29 08","11-01 11","11-03 10","11-02 09","10-29 21","10-28 10","11-03 03","10-30 11","10-31 12","10-29 11","10-31 21","10-27 07","11-03 14","10-30 06","10-29 04","10-28 21","11-01 19","11-02 15","10-27 23","11-04 01","11-03 07","10-28 14","10-27 02","10-29 15","11-03 18","11-01 08","10-31 17","10-29 00","11-02 04","10-31 06","11-01 00","10-30 22","10-29 22","10-28 07","10-30 18","10-28 19","10-29 19","10-27 13","11-01 15","10-28 02"
"19337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19345","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"19349","","","","","","","3","","","2","","","","","","","","","","","1","","","1","","","","","","","","5","","","3","","","","","","3","","","3","2","1","4","","1","","","","","1","","3","","","2","","","","","","1","","","3","","","","","","","","","3","1","","","","","","","2","","1","","4","","1","","","","","","","","","1","1","","","","","","","3","","","2","1","","","2","6","","5","","","","","4","3","3","","1","","4","2","","","","","","","","","","","","","","","3","","","","","","","","","","2","1","","","","3","","1","","","1","","","","1","","","","","","","2","","2","1","","","","","","","","1","","","","1",""
"19352","","","","","","","","","","","3","","","","","","","","","","1","","","","3","","","1","","","","","","","","","2","","","","","","","1","","4","2","","3","","","","","4","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","2","","2","1","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","1","1","2","1","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","2","","",""
"19353","","","","","","","","","","","","","","","","","","1","","","2","","","2","","","","","","","","","","","","1","","","","","","","","1","","","1","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","2","","2","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","2","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","2","2","","2",""
"19354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19357","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19361","1","37","1","15","39","3","5","30","4","34","1","11","29","16","1","2","1","","8","4","","18","3","29","17","2","7","","18","","20","4","15","","18","9","15","","4","1","4","24","2","22","10","4","","1","3","4","3","5","","14","","20","1","","1","9","","9","","6","7","","17","31","","","5","2","7","","4","","16","","29","122","","4","28","10","6","","40","39","6","5","","1","6","28","9","","79","2","40","10","38","14","4","9","16","11","1","4","11","11","23","2","","27","21","4","","3","3","8","","12","","12","10","8","11","4","8","","","5","","2","5","13","","5","","12","12","1","","","114","1","6","5","2","38","","2","1","7","41","5","12","4","","23","","35","4","2","5","2","1","2","2","4","","3","1","","2","1","20","4","6","8","2","7","17","","15","","2","","34","4","21","6"
"19362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"19363","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1"
"19364","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"19367","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19369","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
